year,states,Lon,Lat
2019,Para,-54.34004173,-3.546517881
2025,Mato Grosso,-54.6744252,-11.20457658
2023,Para,-48.48501663,-1.701527463
2021,Para,-49.84671528,-5.584073226
2019,Para,-49.84938576,-3.011752901
2022,Para,-55.81705505,-4.259235332
2019,Mato Grosso,-58.31032391,-10.44573389
2024,Amazonas,-66.39397694,-7.408669694
2019,Para,-52.67112076,-2.809571636
2020,Para,-50.60196445,-4.973996006
2021,Para,-55.64532471,-2.195607996
2029,Amazonas,-68.10505524,-7.45970217
2023,Maranhao,-44.73037975,-3.278448445
2026,Roraima,-60.5409977,2.501899503
2024,Maranhao,-44.72125111,-3.199367027
2029,Acre,-67.51582005,-8.567874418
2027,Para,-50.2371352,-3.295866778
2028,Para,-57.76459255,-4.476650411
2028,Maranhao,-44.70957386,-3.334905285
2019,Mato Grosso,-50.50147182,-11.66729234
2029,Rondonia,-60.75645279,-6.55142884
2027,Para,-50.62469887,-4.837634461
2028,Maranhao,-45.18049122,-2.798027713
2022,Para,-48.69991531,-2.873465479
2027,Para,-50.40932564,-3.247526584
2022,Maranhao,-46.79326591,-2.249394502
2026,Maranhao,-46.98583122,-4.192193406
2024,Para,-50.1092564,-4.32744892
2021,Para,-49.92644329,-3.72118073
2024,Para,-48.01233383,-1.562619642
2021,Para,-49.5467379,-2.189327131
2022,Roraima,-61.86489487,3.346580052
2027,Para,-52.80217125,-3.836681879
2026,Mato Grosso,-58.80980968,-11.4670861
2028,Para,-50.43895267,-2.997888248
2019,Para,-50.01997086,-3.983092048
2019,Para,-51.30287464,-3.754895793
2027,Rondonia,-63.8827589,-10.09072343
2023,Para,-50.37428234,-2.453637976
2027,Para,-47.55657036,-3.726494628
2026,Para,-54.74882496,-3.389688418
2024,Rondonia,-65.28155762,-9.918185776
2020,Mato Grosso,-61.48387753,-11.96689169
2022,Para,-49.17187962,-3.03948086
2026,Maranhao,-47.02432423,-4.243553634
2021,Amazonas,-57.28657063,-3.031793001
2021,Mato Grosso,-54.53903641,-11.44161023
2023,Para,-50.04081806,-2.625524841
2028,Acre,-71.09935806,-8.215810038
2028,Rondonia,-64.72526794,-10.02056883
2027,Acre,-66.97997952,-9.456360215
2029,Mato Grosso,-59.98023521,-12.41941575
2024,Rondonia,-63.41801605,-10.52956779
2019,Para,-50.33367474,-8.398296909
2022,Amazonas,-67.70491928,-7.102656314
2027,Para,-50.61195389,-4.593155792
2023,Rondonia,-63.17889336,-10.4216804
2026,Acre,-68.28340187,-9.303059815
2029,Roraima,-61.1696814,2.576909933
2028,Mato Grosso,-50.25569313,-12.16462443
2021,Rondonia,-63.84339687,-10.10557997
2027,Roraima,-61.4143877,1.436521473
2020,Para,-56.0842625,-2.968901864
2021,Para,-49.11590221,-4.154179984
2025,Para,-51.08712379,-3.055793554
2019,Maranhao,-47.05150398,-4.13939832
2028,Amazonas,-59.90199463,-5.12433058
2027,Mato Grosso,-54.47537479,-12.48582381
2026,Para,-47.90921974,-3.804230196
2021,Para,-51.41748882,-3.880857582
2029,Para,-53.98455757,-1.550327487
2027,Rondonia,-64.22307529,-10.36493323
2025,Para,-57.22519688,-3.154616011
2025,Para,-46.595387,-3.073870807
2025,Acre,-69.05960396,-9.165005656
2022,Amazonas,-59.3228862,-4.241834351
2027,Rondonia,-64.82319984,-10.36030376
2027,Acre,-71.22098572,-8.607654505
2029,Acre,-68.40779671,-9.264013879
2024,Maranhao,-45.24208843,-3.555058078
2023,Roraima,-60.06071339,1.694774392
2023,Mato Grosso,-50.44927593,-11.66322731
2027,Para,-48.04112045,-3.869360829
2019,Amazonas,-61.51265137,-5.992211317
2029,Para,-49.83623608,-3.376242976
2026,Para,-53.75792667,-2.123088193
2022,Acre,-68.67185898,-9.110145931
2019,Para,-52.36664955,-2.745188835
2027,Para,-54.56573357,-4.064785911
2019,Acre,-71.25490837,-8.694132957
2026,Roraima,-60.6661412,2.465257741
2024,Rondonia,-63.41726128,-10.52685967
2025,Para,-51.33016174,-3.603485758
2024,Acre,-67.02670555,-9.606841053
2022,Mato Grosso,-58.74545586,-10.76493301
2022,Mato Grosso,-50.53509674,-11.68332927
2027,Para,-50.47772682,-4.815651742
